workload_type,workload_size,Workload TPT,Average Workload TPT,Average FET,Average CT,C_CPU,C_RAM,C_disk_read,C_disk_write,C_network_recieve,C_network_transmit,pod_cpu_aeneas_function,pod_cpu_functions_all,pod_cpu_mosquitto_broker,pod_cpu_mosquitto_connector_aeneas,pod_cpu_mosquitto_connector_tocloud
30_namespace_max_inflight,30,867,28.9,5.180333333333334,23.71966666666667,1.2507141610119388,2273677312,8107.373377104575,286545.05409460934,30064.495271125685,264903.2467393857,5.033876202316549,5.104190974236307,0.0036298163026761,0.0265510866795909,0.0344316961574014
30_emqx_testing_namespace_max_inflight_scaling,30,1704,56.8,5.551166666666665,51.24883333333334,1.4872366068423075,3914358784,10328.200998202912,122534.15334120624,925687.6636466942,749472.9875884899,5.526283199991886,5.565704202801701,0.1017411481213734,0.1518591009958531,0.0559582504002902
50_emqx_testing_namespace_max_inflight_scaling,50,4626,92.52,5.5404,86.9796,2.578545401748553,4085313536,15545.90608047928,56549.76482789501,1030274.949538877,971963.288456616,5.596861177813377,5.635533502742959,0.0637755008568787,0.1120270231278613,0.0597051689327563
50_namespace_max_inflight,50,2423,48.46,5.25718,43.20282,2.049324531993292,2400743424,6193.246171345383,87846.50390753825,829973.5326919536,822145.1393659108,5.658330663945669,5.727973228258134,0.003889484207091,0.0331007126853854,0.0334500736605959
50_namespace_max_inflight,50,2423,48.46,5.25718,43.20282,2.049324531993292,2400743424,6193.246171345383,87846.50390753825,829973.5326919536,822145.1393659108,,,,,
100_namespace_max_inflight,100,9165,91.65,5.243307000000001,86.40669299999999,4.154552807377747,2964557824,6415.548995716695,87541.49294793617,1163532.6909464274,1083591.5364343894,5.7194293052939305,5.791270766088378,0.0035430197469104,0.0695341265966829,0.0332155407227409
15_emqx_testing_namespace_scaling,15,421,28.066666666666663,5.651066666666666,22.4156,0.7387016978095644,3811381248,4266.241077563247,86921.08483859888,958652.1770801594,1175283.2028001077,1.149490015520276,1.1532788488460337,0.0782100887400894,0.2335099393716924,0.05184892657414
15_emqx_testing_namespace_scaling,15,409,27.266666666666666,5.578733333333333,21.687933333333337,0.7668179505840006,3828015104,1251.386650232086,4946.381192933045,1269765.974659373,1466959.2090320203,2.0724719656855415,2.0944282220333994,0.0642682471362471,0.2854396506257345,0.0398266064492496
15_emqx_testing_namespace_scaling,15,256,17.066666666666666,5.56518,11.501486666666668,0.4770302630906692,3761147904,6378.777623310345,90868.63366114922,734652.332593981,690666.7980824849,0.1113870163289464,0.1404084375962968,0.019519740491169,0.0961124712539453,0.0300565720406388
15_emqx_testing_namespace_scaling_without_max_inflight,15,590,39.333333333333336,4.721486666666666,34.61184666666667,1.5737801352660947,3715944448,1383.850531339815,9165.182529357844,279799.4983811583,327647.74004598253,1.8943913081509909,1.9250760414675392,0.051943993289842,0.1057770124559023,0.0438932161734623
